"lemma_cs","translation_ru","notes"
"aby","чтобы",
"Afrika","Африка",
"aha","ага",
"ach","ах",
"akce","специальное предложение, мероприятие",
"aktivita","мероприятие, действие, инициатива",
"alergie","аллергия",
"alergik, alergička","аллергик, женщина-аллергик",
"alkoholický","алкогольный",
"Amerika","Америка",
"analytik","аналитик",
"ani","даже, даже не",
"aplikace","приложение",
"areál","территория, комплекс",
"Asie","Азия",
"asociace","ассоциация",
"astrofyzik","астрофизик",
"atlet","атлет",
"atletický","атлетический",
"atletika","легкая атлетика",
"atmosféra","атмосфера",
"atraktivní","привлекательный",
"aukce","аукцион",
"aukční","аукционный",
"aukční portál","аукционный портал",
"až","когда",
"bakalář","бакалавр",
"bakalářský","бакалаврский",
"bakalářský program","программа бакалавриата",
"balík","посылка",
"bankovní","банковский",
"barák ., dům","дом",
"barevný","цветной",
"barokní","в стиле барокко",
"báseň","стих",
"bavit, A (Baví mě…)","интересовать, развлекать, веселить кто кого, Мне нравится…",
"bavit se","хорошо проводить время, развлекаться",
"běh","бег",
"běhání","бег трусцой",
"běhat","бегать",
"během","в течение, во время чего",
"benefit","выгода, бонус",
"beran","баран",
"bez","без чего",
"bezpečný","безопасный",
"bezstarostně","беззаботно",
"běžet","бежать",
"bio","био, органическое",
"biologie","биология",
"bioprodukt","биопродукт",
"blog","блог",
"bo ., protože","потому что, иначе",
"bobkový list","лавровый лист",
"bohatý","богатый",
"bohužel","к сожалению",
"bonbón","конфета",
"brácha ., bratr","брат",
"bramborový","картофельный",
"bránit se","сопротивляться чему, защищаться от чего",
"bránit se manipulaci","противостоять манипуляциям",
"bratranec","двоюродный брат",
"brněnský","брненский",
"brokolice","брокколи",
"brusinka","брусника",
"brýle","очки",
"břeh","берег",
"buď – nebo","или – или",
"být v důchodu","быть на пенсии",
"být v pubertě","быть подростком, в переходном возрасте",
"bytost","существо, создание",
"byznys","бизнес",
"cena","цена",
"certifikát","сертификат",
"cibule","лук",
"cibulka","луковица",
"cítit","чувствовать",
"cizinec","иностранец",
"cizinecká policie","полиция по делам иностранцев",
"cože","Что? (восклицание, переспрашивание)",
"cukrárna","кафе, кафетерий",
"cvičení","упражнение",
"cyklus, cyklu","цикл",
"čas od času","временами, время от времени",
"časopis","журнал",
"často","часто",
"častý","частый",
"Čechy","Чехия",
"čekat","ждать",
"čerstvě","свежо, свежее",
"čerstvý","свежий",
"česká kuchyně","чешская кухня",
"článek","статья",
"čtenář","читатель",
"čtení","чтение",
"čtvrt","четверть",
"čtvrť","район",
